"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"99400158610","Bar Pizzeria Pizza Paco","#","C","Allada-Vermell","10","10","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.386834","2.180871","431514.027","4582024.447","431605.969","4582225.382","932690315","#","","01/01","31/12","0000011","14:00:00","01:00:00"," ",
"99400158610","Bar Pizzeria Pizza Paco","#","C","Allada-Vermell","10","10","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.386834","2.180871","431514.027","4582024.447","431605.969","4582225.382","932690315","#","","01/01","31/12","1111101","12:00:00","01:00:00"," ",
"99400158610","Bar Pizzeria Pizza Paco","#","C","Allada-Vermell","10","10","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.386834","2.180871","431514.027","4582024.447","431605.969","4582225.382","932690315","#","","01/01","31/12","1111110","12:00:00","23:30:00"," ",
"99400159338","Hotel Market - HB-004360","Restaurant Market","Ptge","Sant Antoni Abat","10","10","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.379258","2.160592","429810.383","4581199.589","429902.31","4581400.515","932890130","#","","01/01","31/12","0000000","20:30:00","23:30:00"," ",
"99400159338","Hotel Market - HB-004360","Restaurant Market","Ptge","Sant Antoni Abat","10","10","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.379258","2.160592","429810.383","4581199.589","429902.31","4581400.515","932890130","#","","01/01","31/12","0000000","13:00:00","15:45:00"," ",
"99400159427","Restaurant Katmandú","#","C","Còrsega","421","421","31","la Vila de Gràcia","06","Gràcia","08037","019","BARCELONA","41.400706","2.164679","430175.102","4583577.422","430267.032","4583778.371","934593769","#","","01/01","31/12","1000000","19:30:00","23:45:00"," ",
"99400159427","Restaurant Katmandú","#","C","Còrsega","421","421","31","la Vila de Gràcia","06","Gràcia","08037","019","BARCELONA","41.400706","2.164679","430175.102","4583577.422","430267.032","4583778.371","934593769","#","","01/01","31/12","1000000","12:30:00","15:45:00"," ",
"99400160103","Bar Restaurant La Bodega la Palma","#","C","Palma de Sant Just","7","7","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.382353","2.178738","431330.973","4581528.629","431422.914","4581729.559","933150656","#","","01/01","31/12","0000001","12:00:00","23:59:00"," ",
"99400161003","Restaurant Montiel","#","C","Flassaders","19","19","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.385633","2.181819","431592.047","4581890.344","431683.99","4582091.277","932683729","#","","01/01","31/12","0100000","13:00:00","15:00:00"," ",
"99400161003","Restaurant Montiel","#","C","Flassaders","19","19","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.385633","2.181819","431592.047","4581890.344","431683.99","4582091.277","932683729","#","","01/01","31/12","0100000","19:00:00","22:30:00"," ",
"99400161122","Hotel Arts Barcelona - HB-003984","Bar Restaurant Marina","C","Marina","19","21","03","la Barceloneta","01","Ciutat Vella","08005","019","BARCELONA","41.387113","2.19658","432827.766","4582043.112","432919.721","4582244.047","932211000","#","","01/01","31/12","0000000","12:00:00","16:30:00","Restaurant",
"99400161122","Hotel Arts Barcelona - HB-003984","Bar Restaurant Marina","C","Marina","19","21","03","la Barceloneta","01","Ciutat Vella","08005","019","BARCELONA","41.387113","2.19658","432827.766","4582043.112","432919.721","4582244.047","932211000","#","","01/01","31/12","0000000","10:00:00","18:00:00","Bar",
"99400161125","Hotel Arts Barcelona - HB-003984","Restaurant Arola","C","Marina","19","21","03","la Barceloneta","01","Ciutat Vella","08005","019","BARCELONA","41.387113","2.19658","432827.766","4582043.112","432919.721","4582244.047","934838090","#","","01/01","31/12","0110000","13:00:00","15:30:00"," ",
"99400161125","Hotel Arts Barcelona - HB-003984","Restaurant Arola","C","Marina","19","21","03","la Barceloneta","01","Ciutat Vella","08005","019","BARCELONA","41.387113","2.19658","432827.766","4582043.112","432919.721","4582244.047","934838090","#","","01/01","31/12","0110000","20:00:00","23:00:00"," ",
"99400161135","Hotel Arts Barcelona - HB-003984","Restaurant Enoteca Paco Pérez","C","Marina","19","21","03","la Barceloneta","01","Ciutat Vella","08005","019","BARCELONA","41.387113","2.19658","432827.766","4582043.112","432919.721","4582244.047","934838108","#","","01/01","31/12","1000011","19:30:00","22:30:00"," ",
"99400161135","Hotel Arts Barcelona - HB-003984","Restaurant Enoteca Paco Pérez","C","Marina","19","21","03","la Barceloneta","01","Ciutat Vella","08005","019","BARCELONA","41.387113","2.19658","432827.766","4582043.112","432919.721","4582244.047","934838108","#","","01/01","31/12","1111101","13:30:00","15:30:00"," ",
"99400161135","Hotel Arts Barcelona - HB-003984","Restaurant Enoteca Paco Pérez","C","Marina","19","21","03","la Barceloneta","01","Ciutat Vella","08005","019","BARCELONA","41.387113","2.19658","432827.766","4582043.112","432919.721","4582244.047","934838108","#","","01/01","31/12","1111101","19:30:00","22:30:00"," ",
"99400161138","Hotel Claris - HB-003933","Restaurant La Terraza","C","Pau Claris","150","150","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.39449","2.165039","430198.548","4582887.036","430290.478","4583087.978","934876262","#","","01/01","31/12","0000000","11:00:00","02:00:00","Servei de bar",
"99400161138","Hotel Claris - HB-003933","Restaurant La Terraza","C","Pau Claris","150","150","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.39449","2.165039","430198.548","4582887.036","430290.478","4583087.978","934876262","#","","01/01","31/12","1111111","13:00:00","15:30:00","Restaurant",
"99400161138","Hotel Claris - HB-003933","Restaurant La Terraza","C","Pau Claris","150","150","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.39449","2.165039","430198.548","4582887.036","430290.478","4583087.978","934876262","#","","01/01","31/12","1111111","20:00:00","23:30:00","Sessions de Dj's",
"99400161138","Hotel Claris - HB-003933","Restaurant La Terraza","C","Pau Claris","150","150","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.39449","2.165039","430198.548","4582887.036","430290.478","4583087.978","934876262","#","","01/01","31/12","1110001","21:00:00","01:00:00"," ",
"99400161191","Restaurant Delicamon","#","C","Marina","21","21","03","la Barceloneta","01","Ciutat Vella","08005","019","BARCELONA","41.387112","2.196582","432827.875","4582042.999","432919.83","4582243.934","932253061","#","","01/01","31/12","0000000","09:00:00","18:00:00"," ",
"99400161201","Restaurant Gravin","#","C","Rere Palau","3","3","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.38388","2.183585","431737.91","4581694.391","431829.855","4581895.323","932684628","#","","01/01","31/12","0011111","20:00:00","23:45:00"," ",
"99400161201","Restaurant Gravin","#","C","Rere Palau","3","3","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.38388","2.183585","431737.91","4581694.391","431829.855","4581895.323","932684628","#","","01/01","31/12","1100000","12:00:00","23:45:00"," ",
"99400164141","Restaurant Bar Lobo","#","C","Pintor Fortuny","3","3","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.383517","2.170835","430671.454","4581664.115","430763.389","4581865.046","934815346","#","","01/01","31/12","0001110","09:00:00","23:59:00","Bar",
"99400164141","Restaurant Bar Lobo","#","C","Pintor Fortuny","3","3","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.383517","2.170835","430671.454","4581664.115","430763.389","4581865.046","934815346","#","","01/01","31/12","1110001","09:00:00","01:30:00","Bar",
"99400164141","Restaurant Bar Lobo","#","C","Pintor Fortuny","3","3","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.383517","2.170835","430671.454","4581664.115","430763.389","4581865.046","934815346","#","","01/01","31/12","0001110","09:00:00","12:00:00","Cuina",
"99400164141","Restaurant Bar Lobo","#","C","Pintor Fortuny","3","3","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.383517","2.170835","430671.454","4581664.115","430763.389","4581865.046","934815346","#","","01/01","31/12","1110001","09:00:00","12:30:00","Cuina",
"99400164909","Restaurant Mayura","#","C","Girona","57","57","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.393901","2.172221","430798.295","4582815.855","430890.231","4583016.797","934814536","#","","01/01","31/12","0000000","13:00:00","16:00:00"," ",
"99400164909","Restaurant Mayura","#","C","Girona","57","57","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.393901","2.172221","430798.295","4582815.855","430890.231","4583016.797","934814536","#","","01/01","31/12","0000000","20:00:00","23:30:00"," ",
"99400165113","Restaurant Sindur","#","C","Còrsega","211","211","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.391173","2.15204","429108.267","4582529.367","429200.187","4582730.306","934105819","#","","01/01","31/12","1000110","13:00:00","16:00:00"," ",
"99400165113","Restaurant Sindur","#","C","Còrsega","211","211","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.391173","2.15204","429108.267","4582529.367","429200.187","4582730.306","934105819","#","","01/01","31/12","1000110","20:00:00","23:30:00"," ",
"99400165113","Restaurant Sindur","#","C","Còrsega","211","211","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.391173","2.15204","429108.267","4582529.367","429200.187","4582730.306","934105819","#","","01/01","31/12","1111001","13:00:00","16:00:00"," ",
"99400165113","Restaurant Sindur","#","C","Còrsega","211","211","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.391173","2.15204","429108.267","4582529.367","429200.187","4582730.306","934105819","#","","01/01","31/12","1111001","20:00:00","23:59:00"," ",
"99400166338","Euro Hotel Barcelona Diagonal Port - HB-004195","Restaurant Alacena","C","Lope de Vega","4","4","35","el Guinardó","10","Sant Martí","08005","019","BARCELONA","41.40068","2.208842","433866.665","4583539.858","433958.629","4583740.807","933080085","#","","01/01","31/12","0000000","19:00:00","22:00:00"," ",
